time_in_hours	seeded	frac_seeded	cell_count	frac_counted
36	200000	0.1	655840	0.25
48	200000	0.1	810160	0.25
60	200000	0.1	1222960	0.25
72	200000	0.1	1564720	0.25
84	200000	0.1	1899440	0.25
96	200000	0.1	2018320	0.25
108	200000	0.1	2137200	0.25
120	200000	0.1	2430720	0.25
132	200000	0.1	2364400	0.25
144	200000	0.1	2321760	0.25
36	200000	0.1	578080	0.25
48	200000	0.1	839520	0.25
60	200000	0.1	1189040	0.25
72	200000	0.1	1407920	0.25
84	200000	0.1	1875760	0.25
96	200000	0.1	1935120	0.25
108	200000	0.1	2171520	0.25
120	200000	0.1	2044880	0.25
132	200000	0.1	2355760	0.25
144	200000	0.1	2212480	0.25
36	200000	0.1	561840	0.25
48	200000	0.1	819440	0.25
60	200000	0.1	1264000	0.25
72	200000	0.1	1402640	0.25
84	200000	0.1	1787680	0.25
96	200000	0.1	1948080	0.25
108	200000	0.1	2176480	0.25
120	200000	0.1	2071040	0.25
132	200000	0.1	1981440	0.25
144	200000	0.1	2220960	0.25
